"target_function","core_scope","unique_ioctls_calling_this","ioctl_list","file"
"hantro_get_postproc_formats","2_SubSystem",6,"v4l_enum_fmt, v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon, v4l_stub_enum_framesizes","hantro_v4l2.c"
"__init_vb2_v4l2_buffer","2_SubSystem",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","videobuf2-v4l2.c"
"vb2_fileio_is_active","2_SubSystem",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon, v4l_stub_expbuf","videobuf2-core.h"
"hantro_get_postproc_formats","1_Driver",6,"v4l_enum_fmt, v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon, v4l_stub_enum_framesizes","hantro_v4l2.c"
"mutex_destroy","3_kernel",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","mutex.h"
"find_ref","2_SubSystem",6,"v4l_qbuf, v4l_query_ext_ctrl, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"v4l2_ctrl_handler_free_request","2_SubSystem",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-request.c"
"media_request_object_unbind","3_kernel",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","mc-request.c"
"media_request_object_put","3_kernel",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","mc-request.c"
"spinlock_check","3_kernel",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","spinlock.h"
"spin_unlock_irqrestore","3_kernel",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","spinlock.h"
"media_request_put","3_kernel",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","mc-request.c"
"find_private_ref","2_SubSystem",6,"v4l_qbuf, v4l_query_ext_ctrl, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"node2id","2_SubSystem",6,"v4l_qbuf, v4l_query_ext_ctrl, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-priv.h"
"hantro_get_formats","2_SubSystem",6,"v4l_enum_fmt, v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon, v4l_stub_enum_framesizes","hantro_v4l2.c"
"v4l2_ctrl_handler_free","2_SubSystem",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"memcpy","3_kernel",6,"v4l_qbuf, v4l_query_ext_ctrl, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","string_fortified.h"
"list_del_init","3_kernel",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","list.h"
"list_del","3_kernel",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","list.h"
"kvfree","3_kernel",6,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","slab.h"
"list_add_tail","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","list.h"
"v4l2_event_src_merge","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-event.c"
"v4l2_ctrl_fill","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-defs.c"
"new_to_req","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"__v4l2_event_queue_fh","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-event.c"
"hantro_find_format","1_Driver",5,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon, v4l_stub_enum_framesizes","hantro_v4l2.c"
"hantro_needs_postproc","1_Driver",5,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon, v4l_stub_enum_framesizes","hantro_postproc.c"
"hantro_needs_postproc","2_SubSystem",5,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon, v4l_stub_enum_framesizes","hantro_postproc.c"
"hantro_find_format","2_SubSystem",5,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon, v4l_stub_enum_framesizes","hantro_v4l2.c"
"v4l2_event_queue_fh","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-event.c"
"media_request_object_bind","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","mc-request.c"
"media_request_object_init","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","mc-request.c"
"media_request_object_find","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","mc-request.c"
"kzalloc_noprof","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","slab.h"
"__kvmalloc_node_noprof","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","slab.h"
"__mutex_init","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","mutex.h"
"ktime_get_ns","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","timekeeping.h"
"ptr_to_ptr","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"std_init_compound","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"v4l2_ctrl_request_bind","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-request.c"
"v4l2_ctrl_request_clone","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-request.c"
"v4l2_ctrl_type_op_init","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"INIT_LIST_HEAD","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","list.h"
"kvmalloc_array_node_noprof","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","slab.h"
"v4l2_ctrl_handler_init_request","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-request.c"
"v4l2_ctrl_new","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"hantro_get_format_depth","2_SubSystem",5,"v4l_enum_fmt, v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"v4l2_ctrl_merge","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-api.c"
"v4l2_ctrl_replace","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-api.c"
"v4l2_ctrl_get_name","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-defs.c"
"vb2_state_name","2_SubSystem",5,"v4l_dqbuf, v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","videobuf2-core.c"
"hantro_check_depth_match","1_Driver",5,"v4l_enum_fmt, v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"v4l2_event_subscribed","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-event.c"
"list_add","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","list.h"
"cur_to_new","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"v4l2_ctrl_new_std","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"sev_pos","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-event.c"
"v4l2_ctrl_unlock","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls.h"
"queued_spin_is_locked","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","qspinlock.h"
"v4l2_ctrl_lock","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls.h"
"hantro_get_format_depth","1_Driver",5,"v4l_enum_fmt, v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"handler_new_ref","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"v4l2_ctrl_handler_init_class","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"find_ref_lock","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"handler_set_err","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"req_alloc_array","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"hantro_check_depth_match","2_SubSystem",5,"v4l_enum_fmt, v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"check_range","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"v4l2_event_src_replace","2_SubSystem",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","v4l2-event.c"
"__wake_up","3_kernel",5,"v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon","wait.h"
"refcount_read","3_kernel",4,"v4l_dqbuf, v4l_qbuf, v4l_querybuf, v4l_reqbufs","refcount.h"
"rockchip_vpu981_av1_dec_tiles_free","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","camss-ispif.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","camss-csid.c"
"__compiletime_assert_625","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","rzg2l-csi2.c"
"v4l2_ctrl_request_complete","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","v4l2-ctrls-request.c"
"rockchip_vpu981_av1_dec_tiles_free","1_Driver",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"hantro_h264_dec_exit","1_Driver",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_h264.c"
"vb2_get_drv_priv","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","videobuf2-core.h"
"vb2_is_busy","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","videobuf2-core.h"
"vb2_is_streaming","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","videobuf2-core.h"
"vb2_buffer_in_use","2_SubSystem",4,"v4l_dqbuf, v4l_qbuf, v4l_querybuf, v4l_reqbufs","videobuf2-core.c"
"hantro_try_fmt","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_try_fmt","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_reset_fmt","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_reset_fmt","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_update_requires_request","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_update_requires_request","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"vb2_buffer_done","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","videobuf2-core.c"
"hantro_update_requires_hold_capture_buf","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_update_requires_hold_capture_buf","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_set_fmt_out","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_set_fmt_out","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_set_fmt_cap","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_set_fmt_cap","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"trace_vb2_buf_done","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","vb2.h"
"hantro_vq_is_coded","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_v4l2.c"
"hantro_vq_is_coded","1_Driver",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_v4l2.c"
"cur_to_req","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","v4l2-ctrls-core.c"
"hantro_reset_raw_fmt","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_reset_raw_fmt","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_get_default_fmt","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"hantro_get_default_fmt","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_v4l2.c"
"__vb2_buf_mem_finish","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","videobuf2-core.c"
"hantro_h264_dec_exit","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_h264.c"
"hantro_hevc_dec_exit","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_hevc.c"
"hantro_hevc_dec_exit","1_Driver",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_hevc.c"
"rockchip_vpu981_av1_dec_exit","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"rockchip_vpu981_av1_dec_exit","1_Driver",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","rockchip_vpu981_hw_av1_dec.c"
"hantro_vp9_num_sbs","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_vp9_num_sbs","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_vp9_mv_size","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_vp9_mv_size","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_h264_mv_size","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_h264_mv_size","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_hevc_mv_size","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_hevc_mv_size","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_av1_num_sbs","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_av1_num_sbs","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_av1_mv_size","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_av1_mv_size","1_Driver",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","hantro_hw.h"
"hantro_mpeg2_dec_exit","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_mpeg2.c"
"hantro_mpeg2_dec_exit","1_Driver",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_mpeg2.c"
"hantro_vp8_dec_exit","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_vp8.c"
"vb2_dc_finish","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","videobuf2-dma-contig.c"
"hantro_vp8_dec_exit","1_Driver",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_vp8.c"
"vb2_dc_num_users","2_SubSystem",4,"v4l_dqbuf, v4l_qbuf, v4l_querybuf, v4l_reqbufs","videobuf2-dma-contig.c"
"invalidate_kernel_vmap_range","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","highmem.h"
"hantro_vp9_dec_exit","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_vp9.c"
"hantro_vp9_dec_exit","1_Driver",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","hantro_vp9.c"
"fh_to_ctx","2_SubSystem",4,"v4l_enum_fmt, v4l_g_fmt, v4l_s_fmt, v4l_stub_enum_framesizes","hantro.h"
"fh_to_ctx","1_Driver",4,"v4l_enum_fmt, v4l_g_fmt, v4l_s_fmt, v4l_stub_enum_framesizes","hantro.h"
"vb2_dma_sg_num_users","2_SubSystem",4,"v4l_dqbuf, v4l_qbuf, v4l_querybuf, v4l_reqbufs","videobuf2-dma-sg.c"
"dma_free_coherent","3_kernel",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","dma-mapping.h"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","core.h"
"vb2_dma_sg_finish","2_SubSystem",4,"v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon","videobuf2-dma-sg.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","imx8-isi-video.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","rcar_fdp1.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","mtk_vcodec_dec_drv.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","camss-ispif.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","camss-csid.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","rzg2l-csi2.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","camss-vfe.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","v4l2-common.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","wave5-hw.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","mtk_vcodec_enc.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","vdec.c"
"__compiletime_assert_625","2_SubSystem",4,"v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon","vdec_vp9_req_lat_if.c"
